UHGP_Ko,Lachnospiraceae_Human_GI_Ko
K01230,K01941
K01232,K01945
K01233,K01950
K01235,K01951
K01236,K01952
K01239,K01953
K01240,K01955
K01241,K01956
K01243,K01958
K01244,K01960
K01246,K01961
K01247,K01962
K01250,K01963
K01251,K01965
K01252,K01966
K01253,K01968
K01255,K01971
K01256,K01972
K01258,K01975
K01259,K01989
K01261,K01990
K01262,K01992
K01263,K01993
K01264,K01995
K01265,K01996
K01266,K01997
K01267,K01998
K01269,K01999
K01270,K02000
K01271,K02001
K01273,K02002
K01274,K02003
K01275,K02004
K01277,K02005
K01278,K02006
K01279,K02007
K01280,K02008
K01281,K02009
K01283,K02010
K01284,K02011
K01286,K02012
K01293,K02013
K01295,K02014
K01297,K02015
K01299,K02016
K01301,K02017
K01303,K02018
K01304,K02019
K01305,K02020
K01308,K02021
K01312,K02022
K01317,K02025
K01318,K02026
K01322,K02027
K01325,K02028
K01337,K02029
K01338,K02030
K01340,K02031
K01341,K02032
K01342,K02033
K01343,K02034
K01346,K02035
K01347,K02036
K01349,K02037
K01354,K02038
K01355,K02039
K01356,K02040
K01358,K02041
K01359,K02042
K01361,K02044
K01363,K02045
K01364,K02046
K01365,K02047
K01366,K02048
K01371,K02049
K01372,K02050
K01382,K02051
K01387,K02052
K01389,K02053
K01390,K02054
K01392,K02055
K01393,K02056
K01399,K02057
K01400,K02058
K01401,K02062
K01402,K02065
K01405,K02067
K01406,K02068
K01407,K02069
K01408,K02071
K01409,K02072
K01412,K02073
K01414,K02074
K01415,K02075
K01416,K02076
K01417,K02078
K01419,K02080
K01420,K02081
K01421,K02082
K01424,K02083
K01425,K02099
K01426,K02103
K01427,K02106
K01428,K02107
K01429,K02108
K01430,K02109
K01431,K02110
K01432,K02111
K01433,K02112
K01434,K02113
K01436,K02114
K01437,K02115
K01438,K02116
K01439,K02117
K01442,K02118
K01443,K02119
K01444,K02120
K01446,K02121
K01447,K02122
K01448,K02123
K01449,K02124
K01450,K02160
K01451,K02168
K01452,K02169
K01453,K02170
K01455,K02171
K01457,K02172
K01458,K02173
K01459,K02182
K01460,K02188
K01461,K02189
K01462,K02190
K01463,K02191
K01464,K02192
K01465,K02193
K01466,K02199
K01467,K02203
K01468,K02204
K01469,K02217
K01470,K02218
K01473,K02221
K01474,K02224
K01476,K02226
K01477,K02227
K01478,K02230
K01479,K02231
K01480,K02232
K01481,K02233
K01482,K02236
K01483,K02237
K01484,K02238
K01485,K02241
K01486,K02242
K01487,K02277
K01488,K02278
K01489,K02279
K01491,K02280
K01492,K02282
K01493,K02283
K01494,K02302
K01495,K02303
K01496,K02304
K01497,K02313
K01498,K02314
K01499,K02315
K01501,K02316
K01502,K02334
K01505,K02335
K01507,K02336
K01509,K02337
K01510,K02338
K01512,K02340
K01514,K02341
K01515,K02342
K01518,K02343
K01519,K02346
K01520,K02348
K01521,K02352
K01523,K02355
K01524,K02356
K01525,K02357
K01528,K02358
K01531,K02359
K01533,K02361
K01534,K02363
K01535,K02371
K01536,K02372
K01537,K02377
K01539,K02379
K01541,K02381
K01545,K02385
K01546,K02387
K01547,K02388
K01548,K02389
K01551,K02390
K01555,K02391
K01556,K02392
K01560,K02395
K01561,K02396
K01563,K02397
K01565,K02398
K01567,K02400
K01568,K02401
K01569,K02404
K01571,K02405
K01572,K02406
K01573,K02407
K01574,K02408
K01575,K02409
K01576,K02410
K01577,K02411
K01578,K02412
K01579,K02413
K01580,K02414
K01581,K02415
K01582,K02416
K01583,K02417
K01584,K02418
K01585,K02419
K01586,K02420
K01587,K02421
K01588,K02422
K01589,K02424
K01590,K02426
K01591,K02428
K01593,K02430
K01594,K02431
K01595,K02433
K01596,K02434
K01597,K02435
K01598,K02437
K01599,K02440
K01601,K02441
K01602,K02442
K01607,K02443
K01608,K02444
K01609,K02445
K01610,K02450
K01611,K02451
K01612,K02454
K01613,K02456
K01615,K02460
K01616,K02466
K01617,K02469
K01619,K02470
K01620,K02472
K01621,K02473
K01622,K02474
K01623,K02475
K01624,K02477
K01625,K02478
K01626,K02480
K01627,K02481
K01628,K02482
K01629,K02483
K01630,K02484
K01631,K02488
K01633,K02491
K01634,K02492
K01635,K02493
K01637,K02499
K01638,K02500
K01639,K02501
K01640,K02502
K01641,K02503
K01643,K02509
K01644,K02510
K01646,K02518
K01647,K02519
K01649,K02520
K01652,K02523
K01653,K02525
K01654,K02526
K01655,K02528
K01656,K02529
K01657,K02530
K01658,K02531
K01659,K02532
K01661,K02536
K01662,K02538
K01663,K02547
K01664,K02548
K01665,K02549
K01666,K02551
K01667,K02552
K01668,K02553
K01669,K02556
K01671,K02557
K01673,K02560
K01674,K02563
K01676,K02564
K01677,K02565
K01678,K02566
K01679,K02567
K01681,K02572
K01682,K02573
K01683,K02574
K01684,K02575
K01685,K02584
K01686,K02585
K01687,K02586
K01689,K02587
K01690,K02588
K01692,K02589
K01693,K02590
K01694,K02591
K01695,K02592
K01696,K02594
K01697,K02596
K01698,K02597
K01699,K02598
K01702,K02600
K01703,K02601
K01704,K02614
K01705,K02617
K01706,K02619
K01707,K02621
K01708,K02622
K01709,K02624
K01710,K02647
K01711,K02650
K01712,K02651
K01713,K02652
K01714,K02653
K01715,K02654
K01716,K02655
K01719,K02657
K01720,K02659
K01721,K02662
K01724,K02663
K01725,K02664
K01727,K02667
K01728,K02669
K01729,K02679
K01730,K02682
K01731,K02687
K01732,K02688
K01733,K02744
K01734,K02745
K01735,K02746
K01736,K02747
K01737,K02749
K01738,K02750
K01739,K02752
K01740,K02753
K01741,K02755
K01744,K02756
K01745,K02757
K01746,K02759
K01749,K02760
K01750,K02761
K01751,K02768
K01752,K02769
K01753,K02770
K01754,K02771
K01755,K02773
K01756,K02774
K01757,K02775
K01758,K02777
K01759,K02778
K01760,K02779
K01761,K02781
K01763,K02782
K01766,K02783
K01768,K02784
K01769,K02786
K01770,K02787
K01771,K02788
K01772,K02790
K01775,K02791
K01776,K02793
K01777,K02794
K01778,K02795
K01779,K02796
K01781,K02798
K01782,K02799
K01783,K02800
K01784,K02803
K01785,K02804
K01787,K02805
K01788,K02806
K01790,K02808
K01791,K02809
K01792,K02810
K01795,K02814
K01796,K02815
K01799,K02817
K01800,K02818
K01801,K02819
K01802,K02821
K01803,K02822
K01804,K02823
K01805,K02824
K01807,K02825
K01808,K02831
K01809,K02834
K01810,K02835
K01811,K02836
K01812,K02837
K01813,K02838
K01814,K02839
K01815,K02840
K01816,K02841
K01817,K02843
K01818,K02847
K01819,K02849
K01820,K02851
K01821,K02854
K01822,K02855
K01823,K02856
K01825,K02858
K01826,K02860
K01829,K02863
K01834,K02864
K01835,K02867
K01836,K02871
K01838,K02874
K01839,K02876
K01840,K02878
K01841,K02879
K01843,K02881
